player_id,finishing,heading_accuracy,short_passing,volleys,dribbling,free_kick_accuracy,long_passing,sprint_speed,balance,shot_power,stamina,interceptions,penalties,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,goals,assists
108808,3761.0,3318.0,3396.0,3697.0,3847.0,3502.0,2484.0,3722.0,2497.0,3933.0,3258.0,1716.0,4120.0,374.0,271.0,518.0,301.0,319.0,0.0,0.0
37799,3592.0,3047.0,3228.0,3494.0,3527.0,2633.0,2477.0,4332.0,3922.0,3846.0,3213.0,1422.0,3116.0,440.0,603.0,444.0,734.0,431.0,0.0,0.0
47394,3499.0,1958.0,3836.0,3608.0,4294.0,3695.0,3375.0,3734.0,3794.0,3750.0,3074.0,2121.0,3650.0,307.0,385.0,653.0,343.0,529.0,0.0,0.0
194165,3449.0,3189.0,3119.0,2932.0,3212.0,2834.0,2401.0,3385.0,3137.0,3366.0,3384.0,1450.0,3266.0,334.0,426.0,472.0,610.0,472.0,0.0,0.0
49825,3430.0,3349.0,3035.0,3454.0,3305.0,2166.0,2390.0,3398.0,2439.0,3483.0,3438.0,1483.0,3172.0,281.0,471.0,601.0,471.0,431.0,0.0,0.0
40636,3426.0,2884.0,3167.0,3339.0,3515.0,3253.0,2463.0,3106.0,3130.0,3284.0,3352.0,1778.0,3331.0,966.0,959.0,1359.0,1237.0,1372.0,0.0,0.0
30700,3425.0,2731.0,3577.0,3290.0,3421.0,3215.0,3201.0,3784.0,3562.0,3428.0,3691.0,2209.0,3415.0,468.0,394.0,771.0,434.0,709.0,0.0,0.0
30843,3371.0,2774.0,3153.0,3450.0,3168.0,3120.0,2784.0,2843.0,2333.0,3399.0,2692.0,1489.0,3291.0,327.0,425.0,503.0,332.0,366.0,0.0,0.0
38817,3327.0,2413.0,3144.0,3306.0,3246.0,3098.0,2494.0,3188.0,3374.0,3290.0,3387.0,1760.0,3173.0,243.0,280.0,648.0,388.0,324.0,0.0,0.0
32118,3253.0,2382.0,2870.0,3447.0,3030.0,2786.0,2231.0,3087.0,2720.0,3465.0,2556.0,1385.0,3135.0,334.0,400.0,814.0,392.0,397.0,0.0,0.0
